Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,"0,199%"
